,name,longitude,region_id,legacy_id,capacity,latitude,short_name
0,Eads St & 15th St S,-77.05323,41,1,15,38.858971,31000
1,Crystal Dr & 20th St S,-77.049232,41,3,17,38.856425,31002
2,Crystal Dr & 15th St S,-77.049417,41,4,16,38.861056,31003
3,Aurora Hills Cmty Ctr / 18th St & S Hayes St,-77.05949,41,5,12,38.857866,31004
4,Pentagon City Metro / 12th St & S Hayes St,-77.059936,41,6,19,38.862303,31005
5,Army Navy Dr & S Joyce St,-77.06341624259947,41,7,16,38.86331354301248,31006
6,Crystal City Metro / 18th St & S Bell St,-77.05169767141342,41,8,19,38.85778509815245,31007
7,Crystal Dr & 27th St S,-77.051514,41,10,12,38.848466,31009
8,S Glebe Rd & Potomac Ave,-77.0502,41,11,11,38.8426,31010
9,Crystal Dr & 23rd St S,-77.049723,41,12,17,38.852929,31011
10,Clark St & 26th St S,-77.05152,41,13,12,38.850688,31012
11,19th St & Pennsylvania Ave NW,-77.0429,42,14,15,38.9003,31100
12,14th & V St NW,-77.032096,42,15,31,38.9177645,31101
13,11th & Kenyon St NW,-77.027822,42,16,39,38.929464,31102
14,Adams Mill & Columbia Rd NW,-77.042581,42,18,15,38.922925,31104
15,14th & Harvard St NW,-77.0322,42,19,19,38.9268,31105
16,Calvert & Biltmore St NW,-77.047637,42,20,23,38.923203,31106
17,Lamont & Mt Pleasant NW,-77.0388,42,21,19,38.9319,31107
18,4th & M St SW,-77.0178975,42,22,23,38.876697,31108
19,15th & P St NW,-77.03442692756653,42,23,19,38.90980062655191,31201
20,14th & R St NW,-77.032008,42,24,19,38.913046,31202
21,14th & Rhode Island Ave NW,-77.0323,42,25,23,38.9086,31203
22,20th & E St NW,-77.045,42,26,15,38.8963,31204
23,21st & I St NW,-77.04644858837128,42,27,35,38.90071062547463,31205
24,Georgia & New Hampshire Ave NW,-77.02418088912964,42,28,19,38.9366839345886,31400
25,14th St & Spring Rd NW,-77.0328,42,29,19,38.9375,31401
26,John McCormack Dr & Michigan Ave NE,-76.9955,42,30,11,38.9346,31502
27,5th & K St NW,-77.019027,42,31,19,38.90304,31600
28,19th & East Capitol St SE,-76.9769,42,32,15,38.8896,31601
29,Park Rd & Holmead Pl NW,-77.0315,42,33,35,38.9308,31602
30,Good Hope & Naylor Rd SE,-76.969184,42,34,19,38.861663,31700
31,Connecticut Ave & Macomb St NW / Cleveland Park,-77.0575301349163,42,35,11,38.93362634918731,31305
32,Randle Circle & Minnesota Ave SE,-76.9607,42,36,11,38.878,31702
33,Minnesota Ave Metro/DOES,-76.947446,42,37,15,38.897063,31703
34,Nannie Helen Burroughs & Minnesota Ave NE,-76.941877,42,38,11,38.901385,31704
35,Anacostia Metro,-76.994637,42,39,19,38.862669,31801
36,Good Hope Rd & MLK Ave SE,-76.988039,42,40,11,38.867373,31802
37,19th & E Street NW,-77.0436,42,41,11,38.8952,31206
38,4th & W St NE,-77.000648,42,42,15,38.919077,31500
39,10th & U St NW,-77.0259,42,43,15,38.9172,31111
40,Georgia Ave & Fairmont St NW,-77.0222,42,44,15,38.9249,31207
41,1st & N St SE,-77.00579434633255,42,45,39,38.874101857715736,31209
42,20th St & Florida Ave NW,-77.0446,42,46,15,38.9154,31110
43,7th & T St NW,-77.0222,42,47,15,38.9155,31109
44,Eads St & 22nd St S,-77.05341160297394,41,48,15,38.85438051517749,31013
45,M St & New Jersey Ave SE,-77.0037,42,49,17,38.8763,31208
46,Massachusetts Ave & Dupont Circle NW,-77.0444,42,51,45,38.9101,31200
47,1st & M St NE,-77.005483,42,52,15,38.905697,31603
48,New Hampshire Ave & Ward Pl NW,-77.0473176240921,42,53,19,38.90571079190728,31212
49,17th & K St NW,-77.03863,42,54,23,38.90276,31213
50,3rd & H St NW,-77.015289,42,55,15,38.899408,31604
51,3rd & D St SE,-77.0023,42,56,11,38.8851,31605
52,Potomac & Pennsylvania Ave SE,-76.9862,42,57,15,38.8803,31606
53,13th & E St SE,-76.98790669441223,42,58,15,38.88291548476762,31607
54,17th & Corcoran St NW,-77.0387,42,59,19,38.9121,31214
55,Van Ness Metro / UDC,-77.063896,42,60,15,38.944551,31300
56,Florida Ave & R St NW,-77.0135,42,61,15,38.9126,31503
57,8th & Eye St SE / Barracks Row,-76.9953,42,62,11,38.8792,31608
58,Ward Circle / American University,-77.087171,42,63,15,38.938736,31301
59,Wisconsin Ave & Newark St NW,-77.072755,42,64,19,38.934881,31302
60,14th St Heights / 14th & Crittenden St NW,-77.032818,42,65,11,38.947774,31402
61,Anacostia Library,-76.9784,42,66,11,38.865784,31804
62,Pennsylvania & Minnesota Ave SE,-76.971015,42,67,11,38.873057,31805
63,Eastern Market / 7th & North Carolina Ave SE,-76.996806,42,68,15,38.886952,31610
64,14th St & New York Ave NW,-77.031686,42,69,23,38.899632,31216
65,Benning Branch Library,-76.947974,42,70,11,38.894,31705
66,USDA / 12th & C St SW,-77.02824175357819,42,71,39,38.88627694506511,31217
67,Georgetown Harbor / 30th St NW,-77.0591415,42,72,19,38.902314,31215
68,12th & Newton St NE,-76.991016,42,73,11,38.933668,31501
69,US Dept of State / Virginia Ave & 21st St NW,-77.046587,42,74,15,38.894919,31220
70,L'Enfant Plaza / 7th & C St SW,-77.022241,42,75,15,38.886266,31218
71,10th St & Constitution Ave NW,-77.026013,42,76,31,38.893028,31219
72,Kennedy Center,-77.05557,42,77,19,38.897293,31211
73,Eastern Market Metro / Pennsylvania Ave & 8th St SE,-76.99523448944092,42,78,19,38.88409514578027,31613
74,18th & M St NW,-77.04177886247635,42,79,27,38.90506687455313,31221
75,Tenleytown / Wisconsin Ave & Albemarle St NW,-77.079382,42,80,15,38.947607,31303
76,13th & H St NE,-76.98825001716614,42,81,27,38.90042673988099,31611
77,5th & F St NW,-77.019347,42,82,31,38.897222,31620
78,New York Ave & 15th St NW,-77.03335404396057,42,83,19,38.89903234416315,31222
79,Convention Center / 7th & M St NW,-77.02227,42,84,23,38.905737,31223
80,Harvard St & Adams Mill Rd NW,-77.043358,42,85,15,38.927872,31112
81,18th & L St NW,-77.04245209693909,42,86,19,38.903741450919384,31224
82,C & O Canal & Wisconsin Ave NW,-77.06269,42,87,23,38.90375,31225
83,Maine Ave & 7th St SW,-77.02305436134338,42,88,19,38.878693599396954,31609
84,D St & Maryland Ave NE,-76.99591577053069,42,89,23,38.89484064247075,31612
85,34th St & Wisconsin Ave NW,-77.0682,42,90,11,38.916442,31226
86,13th St & New York Ave NW,-77.029822,42,91,23,38.900283,31227
87,8th & H St NW,-77.023086,42,92,33,38.8997,31228
88,10th & Monroe St NE,-76.99353396892548,42,93,19,38.932456900063606,31504
89,Eckington Pl & Q St NE,-77.00495,42,94,23,38.910972,31505
90,6th & H St NE,-76.998347,42,95,23,38.899972,31615
91,3rd & H St NE,-77.001949,42,96,19,38.900412,31616
92,Bladensburg Rd & Benning Rd NE,-76.982872,42,97,15,38.900413,31617
93,4th & East Capitol St NE,-77.000349,42,98,11,38.889955,31618
94,Lincoln Park / 13th & East Capitol St NE ,-76.988355,42,99,25,38.890461,31619
95,Branch & Pennsylvania Ave SE,-76.9599,42,100,11,38.8692,31701
96,13th & D St NE,-76.987633,42,101,31,38.894832,31622
97,New Hampshire Ave & T St NW,-77.038252,42,102,23,38.915544,31229
98,Metro Center / 12th & G St NW,-77.027869,42,103,39,38.898364,31230
99,14th & D St NW / Ronald Reagan Building,-77.031617,42,104,25,38.894514,31231
100,7th & F St NW / National Portrait Gallery,-77.02219069004059,42,105,27,38.89728304853854,31232
101,17th & K St NW / Farragut Square,-77.038322,42,106,35,38.902061,31233
102,20th & O St NW / Dupont South,-77.04478,42,107,19,38.908905,31234
103,4th & D St NW / Judiciary Square,-77.016106,42,108,15,38.895344,31621
104,19th St & Constitution Ave NW,-77.0436,42,109,35,38.8923,31235
105,37th & O St NW / Georgetown University,-77.071652,42,110,23,38.90774,31236
106,25th St & Pennsylvania Ave NW,-77.053485,42,112,15,38.903827,31237
107,Columbus Circle / Union Station,-77.00493,42,113,55,38.89696,31623
108,North Capitol St & F St NW,-77.009888,42,114,23,38.897446,31624
109,11th & M St NW,-77.027313,42,115,19,38.9055785,31266
110,36th & Calvert St NW / Glover Park,-77.070334,42,116,15,38.922581,31304
111,14th & G St NW,-77.032278,42,117,23,38.898409,31238
112,Potomac Ave & 35th St S,-77.050537,41,118,15,38.844015,31052
113,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,-77.04657,42,124,31,38.88412,31240
114,11th & F St NW,-77.026975,42,125,15,38.897857,31262
115,23rd & E St NW ,-77.049882,42,126,19,38.896104,31260
116,Lynn St & 19th St North,-77.070993,41,127,27,38.897315,31014
117,Wilson Blvd & Ft Myer Dr,-77.072305,41,128,19,38.8946,31015
118,Clarendon Blvd & Pierce St,-77.076389,41,129,15,38.893438,31016
119,Wilson Blvd & N Uhle St,-77.0846,41,130,15,38.891696,31017
120,Rhodes St & 16th St N,-77.079375,41,131,12,38.892164,31018
121,Fairfax Village,-76.952103,42,132,15,38.86559,31706
122,21st St & Constitution Ave NW,-77.046567,42,133,15,38.892459,31261
123,Wilson Blvd & N Edgewood St,-77.09186241030693,41,134,15,38.889396070923496,31019
124,Columbia Rd & Belmont St NW,-77.04368,42,135,19,38.920669,31113
125,Rhode Island & Connecticut Ave NW,-77.03980207443237,42,136,23,38.905995699991145,31239
126,Thomas Circle,-77.0325,42,137,33,38.9059,31241
127,Wilson Blvd & N Franklin Rd,-77.0889,41,138,12,38.8904,31020
128,Clarendon Blvd & N Fillmore St,-77.09308,41,139,15,38.8881,31021
129,Clarendon Metro / Wilson Blvd & N Highland St,-77.09525674581528,41,140,21,38.88701007722296,31022
130,18th St & Pennsylvania Ave NW,-77.041539,42,141,27,38.89968,31242
131,4th & C St SW,-77.01770067214966,42,142,39,38.88637194054526,31243
132,4th & E St SW,-77.017445,42,143,19,38.88412,31244
133,3rd & G St SE,-77.001828,42,144,19,38.881185,31625
134,7th & R St NW / Shaw Library,-77.022155,42,145,15,38.912719,31245
135,9th & Upshur St NW,-77.0251,42,146,15,38.9418,31404
136,1st & Rhode Island Ave NW,-77.012289,42,147,15,38.915417,31506
137,Columbia Rd & Georgia Ave NW,-77.0237946510315,42,148,27,38.92812111132096,31115
138,California St & Florida Ave NW,-77.04062,42,149,19,38.917761,31116
139,Benning Rd & East Capitol St NE / Benning Rd Metro,-76.93723,42,150,19,38.889935,31707
140,3000 Connecticut Ave NW / National Zoo,-77.055599,42,151,15,38.930282,31307
141,Anacostia Ave & Benning Rd NE / River Terrace ,-76.96012,42,152,15,38.896544,31708
142,M St & Pennsylvania Ave NW,-77.056887,42,153,19,38.905126,31246
143,15th St & Massachusetts Ave SE,-76.983569,42,154,15,38.88732,31626
144,Congress Heights Metro,-76.987823,42,155,15,38.844711,31806
145,N Quincy St & Glebe Rd,-77.107735,41,156,11,38.876393,31035
146,Barcroft Community Center,-77.1009886264801,41,157,11,38.85033657788445,31033
147,N Veitch St & 20th St N,-77.086502,41,158,15,38.896923,31029
148,10th & K St NW,-77.02622,42,159,23,38.9024,31263
149,Fairfax Dr & Wilson Blvd,-77.097745,41,160,11,38.885801,31023
150,Wilson Blvd & N Quinn St,-77.07857,41,161,17,38.893993,31027
151,1st & K St SE,-77.00572729110718,42,162,15,38.878854378063295,31628
152,39th & Calvert St NW / Stoddert,-77.077271,42,163,19,38.922649,31306
153,1st & Washington Hospital Center NW,-77.012457,42,164,15,38.928743,31507
154,Virginia Square Metro / Monroe St & 9th St N,-77.103148,41,165,19,38.882788,31024
155,Central Library / Quincy St & 10th St N,-77.10783,41,166,11,38.88397,31025
156,Washington Blvd & 10th St N,-77.093485,41,167,15,38.884734,31026
157,Jefferson Dr & 14th St SW,-77.032427,42,168,23,38.8885525,31247
158,Smithsonian-National Mall / Jefferson Dr & 12th St SW,-77.028694,42,169,35,38.888774,31248
159,George Mason Dr & Wilson Blvd,-77.1207,41,170,15,38.87887,31036
160,6th St & Indiana Ave NW,-77.01994,42,171,19,38.894573,31264
161,N Veitch St & Key Blvd,-77.086063,41,172,11,38.893237,31028
162,Langston Blvd & N Adams St,-77.089006,41,173,19,38.89593,31030
163,15th St & N Scott St,-77.08095,41,174,11,38.89054,31031
164,Washington Blvd & 7th St N,-77.090792,41,175,11,38.88081,31032
165,Ballston Metro / Stuart St & 9th St N,-77.111768,41,176,23,38.881044,31037
166,Fairfax Dr & N Randolph St,-77.109366,41,177,11,38.882629,31034
167,Jefferson Memorial,-77.037413,42,178,23,38.879819,31249
168,Good Hope Rd & 14th St SE,-76.985238,42,179,15,38.866611,31803
169,Glebe Rd & 11th St N,-77.116817,41,180,11,38.883921,31038
170,Wilson Blvd & N Quincy St,-77.107854,41,181,15,38.880012,31039
171,GMU / Fairfax Dr & Kenmore St,-77.10108,41,182,11,38.884616,31040
172,Gallaudet / 8th St & Florida Ave NE,-76.9941,42,183,19,38.90509,31508
173,20th & L St NW,-77.044789,42,185,19,38.903584,31250
174,12th & L St NW,-77.0284,42,186,19,38.903819,31251
175,21st St & Pennsylvania Ave NW,-77.046564,42,187,19,38.901539,31252
176,19th & K St NW,-77.04337,42,188,23,38.902204,31253
177,Prince St & Union St,-77.040363,40,189,19,38.803124,31041
178,Market Square / King St & Royal St,-77.043363,40,190,15,38.804718,31042
